,地域コード,都道府県,市,世帯人員,食料（合計）,01　穀類,米,食パン,他のパン,生うどん・そば,乾うどん・そば,パスタ,中華麺,カップ麺,即席麺,他の麺類,小麦粉,もち,他の穀類のその他,02　魚介類,まぐろ,あじ,いわし,かつお,かれい,さけ,さば,さんま,たい,ぶり,いか,たこ,えび,かに,他の鮮魚,さしみ盛合わせ,あさり,しじみ,かき（貝）,ほたて貝,他の貝,塩さけ,たらこ,しらす干し,干しあじ,他の塩干魚介,揚げかまぼこ,ちくわ,かまぼこ,他の魚肉練製品,かつお節・削り節,魚介の漬物,魚介のつくだ煮,魚介の缶詰,他の魚介加工品のその他,03　肉類,牛肉,豚肉,鶏肉,合いびき肉,他の生鮮肉,ハム,ソーセージ,ベーコン,他の加工肉,04　乳卵類,牛乳,粉ミルク,ヨーグルト,バター,チーズ,他の乳製品,卵,05　野菜・海藻,キャベツ,ほうれんそう,はくさい,ねぎ,レタス,ブロッコリー,もやし,他の葉茎菜,さつまいも,じゃがいも,さといも,だいこん,にんじん,ごぼう,たまねぎ,れんこん,たけのこ,他の根菜,さやまめ,かぼちゃ,きゅうり,なす,トマト,ピーマン,生しいたけ,しめじ,えのきたけ,他のきのこ,他の野菜のその他,豆類,干ししいたけ,干しのり,わかめ,こんぶ,他の乾物・海藻,豆腐,油揚げ・がんもどき,納豆,他の大豆製品,こんにゃく,梅干し,だいこん漬,はくさい漬,他の野菜の漬物,こんぶつくだ煮,他の野菜・海藻の佃煮,他の野菜・海藻加工品のその他,06　果物,りんご,みかん,オレンジ,他の柑きつ類,梨,ぶどう,柿,桃,すいか,メロン,いちご,バナナ,キウイフルーツ,他の果物,果物加工品,07　油脂・調味料,食用油,マーガリン,食塩,しょう油,みそ,砂糖,酢,ソース,ケチャップ,マヨネーズ・マヨネーズ風調味料,ドレッシング,ジャム,カレールウ,乾燥スープ,風味調味料,ふりかけ,つゆ・たれ,他の調味料,08　菓子類,ようかん,まんじゅう,他の和生菓子,カステラ,ケーキ,ゼリー,プリン,他の洋生菓子,せんべい,ビスケット,スナック菓子,キャンデー,チョコレート,チョコレート菓子,アイスクリーム・シャーベット,他の菓子,09　調理食品,弁当,すし（弁当）,おにぎり・その他,調理パン,他の主食的調理食品,うなぎのかば焼き,サラダ,コロッケ,カツレツ,天ぷら・フライ,しゅうまい,ぎょうざ,やきとり,ハンバーグ,冷凍調理食品,そうざい材料セット,他の調理食品のその他,10　飲料,緑茶,紅茶,他の茶葉,茶飲料,コーヒー,コーヒー飲料,ココア・ココア飲料,果実・野菜ジュース,炭酸飲料,乳酸菌飲料,乳飲料,ミネラルウォーター,スポーツドリンク,他の飲料のその他,11　酒類,清酒,焼酎,ビール,ウイスキー,ワイン,発泡酒・ビール風アルコール飲料,チューハイ・カクテル,他の酒,12　外食,日本そば・うどん,中華そば,他の麺類外食,すし（外食）,和食,中華食,洋食,焼肉,ハンバーガー,他の主食的外食,喫茶代,飲酒代,学校給食
10,R10201,群馬県,前橋市,2.84,934278,80830,26212,8157,22282,4563,1948,1203,4153,5049,1544,546,709,1460,3007,71223,7305,755,419,1063,626,6160,800,802,373,1697,1597,1142,1995,868,5155,4548,881,273,581,1128,257,1997,2661,1907,711,5974,1871,1585,2488,1250,879,4089,992,3354,3038,72091,11420,28653,11655,1467,1824,5245,6941,2399,2488,45688,13320,495,15026,1081,6633,628,8506,108225,2781,1640,974,2402,2602,2026,891,6022,1044,2175,714,1583,2307,953,2946,646,490,3617,1932,1641,4098,1648,9444,2035,2307,1750,1138,2991,4798,568,301,3040,1913,878,2826,5171,2863,5811,787,1626,1411,1005,563,6154,1305,449,1962,43550,6200,4610,809,2805,2381,2980,616,1042,1355,1008,4186,4978,2170,4596,3814,43634,4191,542,496,1623,2072,1121,984,712,594,1209,2714,1286,1343,3332,2274,1556,4890,12695,86712,612,1645,7649,630,7379,2037,1568,7244,6733,3090,4123,2673,6415,1376,9776,23761,132467,20841,15868,4378,6011,14689,1736,5488,1666,2317,11835,1215,2284,2566,1466,7348,1468,31290,65828,4270,634,1643,9955,6592,5179,418,8035,5517,7699,2132,3614,1815,8324,37111,6590,6310,9640,2007,3132,5778,2898,754,146918,7226,6807,3283,10491,18251,4154,11359,5949,5112,49166,5245,10329,9549
11,R11100,埼玉県,さいたま市,3.02,1055306,83194,24077,9800,23709,4016,2256,1487,4512,4584,1568,949,743,1783,3709,72735,6873,907,465,1035,497,5430,897,863,548,2427,1468,1176,2068,1022,5605,4863,794,433,844,763,323,2265,2214,1769,1031,7205,1942,1349,2555,1791,817,3539,1110,3069,2777,91900,19028,34761,16135,2720,1583,4988,7293,2856,2534,50775,16081,798,14500,1500,7990,577,9329,120443,3128,2276,1303,3499,2992,2723,960,7841,985,2714,986,1966,2832,1054,3729,1018,1082,3892,2478,1913,4201,2438,9896,2918,2004,1715,1120,2623,5272,492,385,3114,1680,830,3123,5442,2947,5119,835,1775,2210,982,533,5820,1062,362,2176,41604,5014,4253,733,2842,1504,3076,817,1041,1430,1023,3932,4849,2684,4410,3996,45561,4242,640,402,1498,2178,928,947,672,697,1239,2602,1596,1418,3949,2160,1603,4503,14289,98093,1046,848,8973,1118,8928,2504,2109,8926,7468,4108,4847,2298,6947,1788,10976,25209,145870,18319,14048,5005,6991,17205,2205,6792,1777,2350,10757,1250,2284,2929,1444,9056,5900,37557,63895,4437,1310,1432,8987,6883,5026,390,8597,6766,3790,2099,4069,1566,8543,42719,6419,5312,10482,1922,5629,7221,4523,1212,198517,8061,7146,2848,12449,24558,4922,17397,7259,5820,70345,8677,19835,9201
12,R12100,千葉県,千葉市,3.01,1032661,81387,22785,10799,23263,3389,2277,1441,4582,4513,1840,835,507,1843,3312,78575,7215,1046,564,1370,700,5898,888,793,707,2833,1604,1406,2861,1218,6465,4585,972,472,837,1376,570,1925,2435,1761,944,7016,1980,1320,2811,1641,1021,3519,1382,3277,3167,89772,19157,31716,16148,2417,2295,5129,7304,2716,2888,52170,16853,824,16113,1486,7293,480,9119,122884,2978,2752,1332,3786,2991,3001,988,8190,1134,2674,798,1937,2691,1042,3647,1141,844,3992,2765,1816,3742,2442,10354,2821,2078,1772,1102,2706,4960,345,498,3614,2054,809,3214,5086,2887,5186,989,1819,1927,1022,645,6393,1099,390,2428,41814,4446,4220,779,2777,2522,2752,1222,819,1296,796,4146,4903,2467,4594,4074,46641,4474,655,422,1624,2549,820,905,764,672,1155,2533,1536,1332,4128,2851,1654,4844,13724,89290,823,599,8108,776,7515,2354,1462,8386,6775,3732,4581,2231,6616,1746,10714,22870,140079,17024,13306,5623,6471,17116,2542,6399,1822,2432,11936,1326,2267,3418,1456,10375,2431,34136,64713,4257,965,1715,10263,6435,4574,403,7509,7367,4342,2309,4553,1597,8425,43521,5598,5920,11023,3445,5027,7394,4094,1019,181815,5060,7190,3146,15363,21078,5587,12591,7085,5355,61778,6488,18976,12119
13,R13100,東京都,東京都区部,2.95,1136325,83171,22668,11473,24681,3088,2385,1595,4592,3953,1734,974,590,1958,3481,79988,8373,1174,445,1522,673,5195,734,824,984,2946,1682,1566,2855,1126,7070,5184,868,503,941,1215,459,2141,2250,2058,929,6760,1962,1251,2873,1630,890,3658,1031,3081,3133,101007,25998,33793,17136,2974,2360,5982,7002,3020,2741,52799,16481,880,15139,1712,8303,811,9474,129151,3124,2479,1346,4072,3256,3019,1058,9493,1037,2811,910,2141,2683,984,3817,1147,997,4159,3354,2016,4357,2786,10900,2914,2081,1778,1156,3056,6275,450,402,3618,1784,798,3213,5439,3006,4595,917,1804,1875,1014,657,6412,1059,388,2509,45615,4361,4700,802,2994,1640,3464,1153,1257,1598,994,4478,4682,2397,6436,4659,47289,4371,605,439,1540,2247,903,1022,707,682,1170,2544,1675,1387,4169,2773,1352,4818,14886,95247,925,752,9324,911,8443,2353,1780,9335,6827,4873,4329,2171,7540,1426,10665,23594,154119,20628,14367,5874,8297,17389,3037,7167,2007,2375,11673,1642,2471,3134,1415,7456,3088,42100,63944,4539,1360,1620,7955,7320,4873,349,8217,6355,4548,2292,4905,1151,8459,46351,5359,4781,11810,2424,7509,8032,4540,1897,237644,6657,6890,3340,16575,25138,6855,16282,7222,5465,95222,11470,27206,9321
14,R14100,神奈川県,横浜市,2.84,1049903,83949,24387,11043,23430,3410,2684,1472,4484,4035,1741,1049,713,2026,3478,81371,8096,1279,638,1162,698,5644,874,820,849,3074,1650,1360,2890,1491,7065,5206,864,482,937,1209,457,2064,2170,2267,1148,6521,2066,1373,3179,1924,963,3614,1063,3424,2852,99917,23322,35079,17329,2791,1953,6463,7286,3115,2580,50953,15858,608,14558,1560,7883,733,9753,129043,3370,2585,1360,3891,3082,3120,1024,9141,1124,2947,1038,2038,2765,1114,3963,1220,891,4252,3158,2138,4519,2781,10702,2960,2108,1676,1132,2967,5490,469,488,3451,2042,1017,3390,5631,2980,4659,1004,1872,1740,1084,679,5951,1111,467,2450,45466,5431,4808,903,2674,2306,2940,1346,1144,1416,929,3983,5325,2796,5166,4299,47584,4813,744,452,1715,2196,965,990,730,811,1295,2502,1757,1312,4303,2690,1362,4503,14445,88069,642,596,8355,894,6941,1969,1730,8925,6489,4554,4129,2086,6815,1583,9535,22828,140749,17922,12922,4737,7021,17797,2368,6204,2098,2005,10073,2248,1856,2960,1257,9908,2245,37127,59776,4933,1244,1562,8219,7042,3976,430,7677,6034,3598,1901,4204,1338,7617,45252,6267,6352,11530,2698,5414,7951,3613,1426,177773,5560,5864,2786,14366,25178,7715,17552,4344,4852,56238,8828,19812,4678
15,R15100,新潟県,新潟市,3.16,959654,80518,23059,10007,21514,2697,3409,1308,4192,6095,2201,612,674,1952,2800,75003,3726,759,554,1113,1480,5650,644,912,506,3047,1939,1181,2305,1893,5160,4578,878,489,662,1196,477,4980,2699,942,386,7201,1728,1300,2864,1256,593,4081,604,4051,3169,80872,10542,34793,13807,1479,1755,4928,7522,2893,3151,51513,17399,639,15400,975,6926,537,9638,124542,3127,2407,1269,2966,2679,2995,1197,8124,1076,2743,1447,1819,2938,1157,3285,1738,1010,3658,5080,1659,3888,2410,9962,2537,2173,2171,1704,3617,4725,503,505,2930,1802,756,3506,4958,3651,5029,833,2040,1046,1097,494,5726,1464,290,2349,41183,4809,5131,670,2337,3567,2505,785,1277,1594,743,3479,5198,2304,3672,3110,46349,4180,717,570,1710,2653,1097,942,629,725,1477,2031,1104,1779,3638,2655,1919,5101,13420,81878,429,882,7248,448,6246,2232,1452,7686,6185,3924,5501,2203,6351,1992,9700,19397,129767,11858,13216,4708,5619,13594,1298,5841,2099,2293,13873,879,1882,2485,1236,10445,6452,31989,55464,2825,863,1767,7480,6594,4518,402,7219,5867,4525,2152,2515,1625,7113,53850,8836,6680,11894,2714,3970,13662,4714,1380,138714,6437,11991,3554,12686,16884,2897,7184,4446,3803,32092,5854,18143,12742
16,R16201,富山県,富山市,3.16,1024049,83545,24795,10537,22156,3294,2738,1184,4367,5576,1928,491,572,2954,2953,85325,4738,1674,460,733,953,5574,931,576,680,6430,2909,1045,3841,1709,7151,6316,657,526,582,1088,610,2987,2088,1203,506,6700,2088,1138,4830,1432,570,6443,779,2456,2924,88633,19238,31021,12956,3526,2052,5276,8526,2967,3068,48320,16075,423,14833,1126,6386,602,8876,117612,3247,2813,1499,3018,2456,3059,1173,7014,1115,2836,1247,1780,2585,1040,3072,1174,850,4011,1664,1845,3699,2330,8937,2273,2332,1816,1709,3365,3042,390,410,2820,1543,2062,3035,5081,4099,5236,904,1628,1384,1353,660,5410,1915,359,2323,46035,5394,5291,1128,2446,3885,3111,865,884,1257,1036,3346,5517,2814,4968,4092,43535,3870,680,492,1791,2188,885,878,667,552,1309,1922,1237,1535,3408,2166,2227,5152,12577,92247,795,1066,8963,899,8430,2384,1756,9032,7090,4237,5327,2090,7473,1830,10615,20259,146523,11528,15376,4475,5881,13725,1897,6115,2630,3145,15106,882,1887,2612,1114,11801,11221,37128,57924,2559,476,1979,7941,6683,6722,376,8375,5837,3844,1981,2062,1828,7262,50153,8386,5855,12251,1836,3020,12859,4883,1061,164197,5962,8113,1701,16296,25251,3909,12037,6967,4517,41541,5200,18143,14563
17,R17201,石川県,金沢市,3.22,1040076,85690,24478,11945,23456,3597,2233,1339,5159,4408,1880,607,629,2707,3251,76197,3130,1426,921,939,1479,4955,1144,815,815,5826,2479,1164,3223,2615,7543,4648,685,377,547,778,492,2320,2090,1242,369,5385,1766,1811,3213,1253,490,3984,983,2674,2616,98323,21975,33253,16392,4159,2543,5154,8877,2872,3098,47923,16490,424,12961,1185,7118,599,9148,113531,3183,2299,1498,3246,2667,2791,1026,7309,1395,2738,660,1786,2813,882,3356,1574,739,3417,1776,1846,3673,2294,8740,2363,2155,1770,1459,3157,2917,480,349,3269,1464,1301,3496,4883,4258,4276,910,1564,1122,1175,528,5153,1454,424,1900,38227,3850,4400,1052,2292,2387,3305,798,839,1506,797,2507,4670,2283,4128,3412,46492,3881,762,439,1723,2004,964,1041,682,659,1274,2339,1361,1719,3895,2544,2081,5286,13839,101703,558,1402,13098,1114,9066,2247,1697,10058,6431,4810,6679,2812,8348,2193,11597,19594,138068,12968,15789,4433,7278,14441,3379,5800,2168,2569,12509,858,1933,3020,1234,9255,7473,32961,59147,3426,657,1405,7082,7442,5592,647,8683,6222,4674,2271,2622,1517,6906,43145,6634,5981,10881,1818,2357,10074,4332,1069,191631,7390,9484,2109,21364,28568,4870,13937,9584,5456,44365,6695,19453,18355
18,R18201,福井県,福井市,3.05,966734,84726,29070,8829,22824,4124,2549,1200,4247,3838,1875,387,451,2740,2594,72931,2691,939,479,849,1383,4575,921,519,528,4262,2449,1260,2537,4324,5884,5946,704,311,519,734,317,1803,2039,1580,504,6350,1686,1575,3310,1929,757,2947,938,2149,3234,94815,26266,27292,15681,3361,2890,5925,7837,2386,3175,44207,14504,1019,12017,1100,5080,519,9968,114423,2798,2767,1373,2938,2503,2479,1061,6829,1199,2942,1760,1817,2596,803,3273,744,678,3406,1441,1380,4024,2511,9310,1975,2350,1827,1411,2316,3037,428,318,2656,1899,1439,2935,5003,5630,4634,761,1844,1159,1305,438,5847,2048,561,1970,39293,4961,5284,615,2298,1768,2801,832,606,1328,1283,2983,5203,2004,4411,2915,40727,3394,720,407,1490,2012,843,856,655,657,1297,2190,999,1378,3114,2154,2124,4934,11503,83520,1187,793,10725,852,5951,2052,1474,6445,7611,3669,4766,2173,6654,1914,9125,18127,147327,13968,14650,4629,5023,12459,1506,5664,3215,4201,16761,862,2131,3428,1542,8695,5542,43051,51719,2668,421,1359,6858,5898,5792,290,7584,5207,4325,1953,2177,1230,5958,35822,6453,4145,10985,1313,1886,6728,3211,1102,157224,8615,8593,2050,20345,28796,3949,9294,10910,3900,27935,6240,12890,13708
19,R19201,山梨県,甲府市,2.89,952544,75241,22714,8886,20687,3870,1947,1123,4529,4786,1580,660,516,1389,2553,74111,9240,841,245,869,429,4692,825,733,304,1480,2073,1249,2397,1001,3947,3676,940,555,615,1162,832,2842,1897,2403,1172,6514,1950,1733,2709,1645,863,4515,1241,2885,3639,82476,15894,32095,12519,1714,2679,5108,7485,2826,2157,44675,12952,900,14757,1081,5876,573,8536,102666,2859,2168,1236,2789,2765,2535,918,6399,886,2249,855,1851,2312,1024,2932,1126,603,3146,1865,1588,4181,1717,7681,1843,1861,2036,1093,2566,4299,474,242,2330,1698,668,2826,4296,2273,4222,883,1707,1149,1052,501,5320,1233,486,1924,40875,3648,4645,563,2398,746,7448,785,3085,821,432,3010,4409,1643,4205,3037,42075,3551,534,477,1452,1942,881,755,685,580,1121,2548,1166,1390,3822,2386,1589,4914,12281,84166,485,864,8319,594,6986,2359,1872,7722,4837,3706,5304,2229,6425,1775,9510,21178,142903,18529,14920,5629,5800,17004,2094,6857,2218,3134,13400,1207,2095,3413,1896,6737,2064,35906,56223,2860,661,1417,8911,5834,4956,277,6741,6567,3709,2464,3234,1411,7181,43605,5156,7076,9240,3341,4714,9295,3528,1256,163529,7123,9150,2522,18716,22295,4753,13040,7535,5915,38101,5520,17109,11749
20,R20201,長野県,長野市,2.91,932793,72550,21729,7900,18568,4075,2705,1267,4333,4346,1620,808,940,1493,2766,76337,5290,611,375,940,1058,5812,808,995,531,2060,1887,1023,2401,1353,5373,5424,914,380,619,1039,407,2993,2696,1781,735,7363,1783,2021,2880,1341,716,4476,991,4027,3237,74917,12059,29871,12419,1532,1953,4371,7341,2770,2602,46554,14855,527,13236,1117,6689,618,9513,108030,2851,1906,1030,1976,2044,2317,850,7888,923,1971,794,1819,2429,1063,2680,1215,1045,3574,1832,1641,3705,1866,7037,2121,1719,2285,1759,3205,4606,556,343,2319,2421,914,3710,5161,2515,5843,1017,1880,1217,970,463,4959,1395,359,1837,42129,9113,4089,483,2985,698,3398,430,2551,1106,509,2880,3892,1671,4528,3794,48231,4623,556,551,2014,3221,1426,1081,601,622,1315,2245,1173,1453,3875,2440,1569,5220,14249,81288,675,765,8141,555,6739,2065,1455,6602,5919,3141,4079,1909,6468,1307,9369,22099,127166,13588,13200,4627,8326,15876,1900,4793,1643,1743,11351,1055,2050,2453,985,8750,1622,33204,53419,3621,639,1395,7346,6387,5156,332,7648,5176,3578,1644,2243,1215,7037,43569,5741,6603,12837,2140,2552,8776,4003,916,158604,6484,7968,1609,14008,19229,3936,12186,7072,3138,46257,4969,22938,8811
21,R21201,岐阜県,岐阜市,3.05,969734,78232,23715,10325,20686,3154,2106,1239,3816,4566,1907,650,577,2140,3353,67944,5134,771,399,1043,604,4999,1059,748,847,3097,1652,1517,3134,1511,5034,3983,879,423,774,873,244,1476,1456,1838,592,5838,1632,1877,2560,1778,1026,2065,1190,3549,2343,88887,23808,28536,13919,2874,2070,5794,7305,2350,2232,46323,14521,480,13527,1249,5936,541,10069,101520,2683,2286,1125,3223,2389,2226,838,5961,965,2400,951,1627,2218,1066,2820,1016,542,3297,2069,1559,3069,1992,7400,2125,2012,1533,1347,2171,3349,501,513,2823,1332,613,3033,5276,2797,4186,1056,1688,1240,935,493,4691,1446,399,2240,38346,4923,3239,650,2291,1256,2662,2235,879,1070,710,3369,5456,2020,4354,3231,45868,4274,651,447,1943,2063,1049,1081,714,640,1328,2163,1316,1353,3995,2597,1877,5186,13190,90857,392,1193,12284,752,7773,2231,1784,8568,6388,4128,6578,2365,7618,2091,9939,16773,118935,13670,12840,4508,4681,13405,2480,4337,1920,1772,10810,824,1912,1523,1134,8519,6459,28141,55133,2487,613,1601,8410,6245,4709,377,7893,5038,4258,1945,3162,1503,6893,39260,5344,5562,11285,1604,2442,8475,3231,1318,198429,7508,6919,1938,19765,42948,7344,18478,10628,5870,36339,13564,13308,13820
22,R22100,静岡県,静岡市,2.98,1011480,86921,30250,9506,22154,3045,2414,1319,5106,4582,1682,935,597,1799,3531,82301,12135,1287,341,1705,405,4361,1043,632,472,1963,2043,1267,2910,1956,4791,4113,1114,456,791,997,495,2370,1603,3585,1471,6020,2180,1448,2884,2638,1301,3542,1412,4005,2565,91054,18113,33902,15262,2420,2869,5332,7528,3109,2519,46634,14102,654,13908,1521,6430,606,9412,117432,3701,2160,1465,4329,3282,2590,944,7210,979,2995,1036,1976,2587,895,3378,1586,757,3536,2497,1593,3483,2243,9373,2340,2254,2032,1344,2498,3696,480,425,2974,2026,916,3049,5955,3023,4431,911,2159,1173,1132,752,5386,1143,341,2397,38329,3533,5173,578,2668,1239,2608,764,884,1472,1085,4102,4672,1562,4521,3469,45089,3910,569,460,1692,2554,1045,940,752,629,1192,2223,1293,1390,4122,2792,1750,4941,12834,86659,1018,1084,9702,708,7358,2322,1496,9418,6061,4292,5554,2302,6186,1379,9528,18252,150843,21287,15465,5706,6288,16952,3058,7618,2056,2257,13635,1518,2281,3102,1651,8348,3675,35945,57785,9671,766,1108,7312,4917,3418,371,7070,4822,4062,2064,4628,1432,6146,38569,5998,5500,11588,1398,3444,6286,3422,932,169863,9734,6782,3207,18720,27593,7697,15094,6766,4963,35038,5469,18188,10612
23,R23100,愛知県,名古屋市,3.01,973091,81688,24821,11032,20678,3991,2198,1394,4239,4490,1882,731,637,2143,3452,68488,5672,720,372,991,501,4637,971,629,657,2782,1626,1513,2992,1779,6649,4617,827,212,915,990,328,1108,1736,1416,689,6248,1618,1912,2613,1986,796,1993,1089,2636,2267,91208,22223,30189,15662,3005,2092,5115,7902,2443,2576,48333,15255,942,14482,1264,6352,542,9497,108025,2955,2103,1515,3970,2561,2316,928,6474,1133,2514,1046,1729,2599,956,3206,1072,597,3214,2437,1633,3351,2327,8542,2373,1898,1708,1342,2473,3995,464,534,3183,1651,606,2987,5276,2538,4071,859,1720,1427,911,383,5021,1030,332,2065,39492,4404,4276,768,1704,1142,3023,1112,921,1779,818,3810,5392,2347,4378,3619,42836,3878,860,376,1485,1860,880,1001,759,635,1224,1930,1286,1312,3592,2457,1858,5076,12369,86994,621,1449,9125,750,7066,2101,1631,7996,5604,3946,5326,2255,7211,1639,10377,19896,121929,14446,14331,4351,5604,14467,2622,4757,1965,1749,9683,1012,1857,1827,1355,7930,2789,31183,54796,3603,703,1536,6962,7197,5291,362,7985,5219,3179,1789,2934,1096,6940,37208,4534,4831,9577,1238,3008,9605,3604,811,192095,7137,6601,2628,15305,32605,7069,17965,8807,5495,54560,10962,14006,8955
24,R24201,三重県,津市,2.95,953713,76327,20856,9563,22254,3720,2190,1251,4176,4222,1922,595,628,1689,3262,80478,6984,1178,702,1713,484,4403,1034,971,840,4269,1755,1503,3661,1953,7078,5541,998,230,910,896,420,2268,1522,1757,721,7469,1999,1803,2994,2298,1053,1860,1959,2608,2643,100685,32052,27874,16925,3479,2204,4503,8417,2501,2731,48122,17063,1151,13340,1136,5358,512,9563,102250,2523,1924,1289,3515,2262,2209,846,5877,1158,2239,730,1625,2387,1035,2939,943,479,3393,1542,1662,2738,2081,8511,2082,1932,1838,1265,2187,4140,469,441,3083,1650,713,2969,4838,3112,3787,961,1768,1351,1052,420,4684,1240,498,1864,39833,4360,5043,440,1503,3651,2852,1022,561,1357,871,3911,5363,2062,3703,3136,44569,3909,657,326,1957,2202,1095,1097,749,604,1301,1810,1103,1383,3348,2709,1841,5050,13428,90215,529,1057,10378,1082,6937,2103,1694,7801,7446,3442,4615,2623,6955,1706,9428,22419,118563,12794,13498,4159,4047,12969,2979,3942,2175,1580,9513,938,1775,1246,1200,6809,3460,35478,54860,3933,795,1471,8172,5896,4541,394,7773,4809,3760,2059,3023,1247,6987,35765,5538,5789,9797,1835,1876,7113,3059,758,162045,4961,5844,1580,14523,23014,3764,8514,7353,5022,60669,6153,11271,9377
25,R25201,滋賀県,大津市,3.0,1013443,83588,23426,10801,24832,3835,2004,1295,4121,4397,1976,659,800,1727,3713,81470,3229,1125,546,1517,1565,5185,1154,1009,1850,4130,1960,1489,3607,1698,10108,3928,628,259,999,883,271,2387,2479,2317,555,7877,2167,1899,2412,1022,942,2562,1958,2655,3099,116558,38742,32012,19839,4434,2937,5797,7642,2850,2304,48683,15364,606,13052,1530,6936,631,10564,119276,2985,2483,1695,3695,2772,2553,1023,7758,1240,2786,825,1945,2658,1016,3648,1170,847,4037,1936,1837,3340,2648,9016,2575,2225,2023,1256,2895,5057,490,362,3574,1235,1242,3390,5208,3684,4006,1136,1839,1302,903,560,6095,1668,476,2160,39948,5097,4392,643,2640,1551,2742,980,920,1291,931,3499,5281,2146,4568,3267,47228,4146,775,482,1872,2017,1118,1056,905,627,1316,2349,1246,1326,3458,2728,1794,5441,14572,95289,677,907,11086,800,7722,1963,1527,9461,5900,4153,5058,2371,7887,2053,9799,23924,128559,11853,13984,4203,5095,14045,3820,4827,2654,1730,10336,738,2501,1579,1149,8031,4643,37371,52971,3630,946,1485,5795,7721,4737,391,7978,5228,3115,2005,1931,1213,6796,41818,5587,4266,12811,1543,3529,9416,3540,1125,158055,5720,4623,1856,14299,19060,5303,10229,5334,4477,57386,6803,13496,9468
26,R26100,京都府,京都市,2.9,982902,83008,23536,11200,25116,3816,2160,1345,4136,3216,1959,596,674,1957,3300,79665,3901,1038,483,1368,1564,5279,1162,794,1855,3813,2141,1510,3550,2152,8631,4425,736,395,707,1080,378,1662,1973,2254,605,8160,2358,1835,2485,1121,960,2641,1461,2307,2880,111156,38374,30002,19168,3460,2195,5842,7093,2640,2383,50634,18254,459,13274,1379,6377,731,10160,124324,3247,2653,1831,4119,2722,2726,1106,7787,1451,2831,1009,2078,2587,1088,3968,1093,1205,3914,2534,1657,3541,2950,9453,3024,2238,1991,1123,2513,4677,518,401,2968,1543,1400,3565,5532,4424,3437,1426,1879,1668,1023,413,7271,1471,458,1811,39428,4843,4550,643,3038,1148,2393,1194,852,1382,733,3017,5970,2404,3859,3402,44824,4104,719,431,1626,2135,1138,1087,975,628,1237,2067,1453,1298,3451,2690,1597,5186,13003,84234,782,727,9979,950,6685,1968,1480,8339,5639,3316,3901,2049,6182,1323,8753,22161,121211,10853,14161,3540,4815,13361,3874,4816,2668,1863,10081,828,2969,1491,1518,6619,2600,35154,49882,3512,993,1437,4043,8583,3773,298,8318,4593,3150,1385,2673,1089,6035,40282,6119,6042,10934,2051,3228,8055,2652,1204,154253,4448,4079,1576,11924,17363,5025,8879,5687,3614,66293,7017,11945,6404
27,R27100,大阪府,大阪市,2.96,987592,85629,25707,11156,24908,3999,1599,1013,3567,5564,2246,540,519,1746,3065,76880,4197,932,427,1444,1247,4377,852,677,1685,3368,2248,1899,4002,2248,7574,3555,676,310,863,1216,381,2432,1906,1808,365,7416,3083,1983,2662,1073,827,2459,1226,2628,2833,105380,34788,29238,17345,3789,3456,5346,6982,2232,2204,46523,15226,1024,12471,1158,5400,676,10568,112100,2960,2345,1900,3939,2449,2355,1086,7358,1341,2699,775,1926,2330,1018,3643,1291,833,3400,2316,1523,2990,2335,8263,2569,1973,1729,1232,2308,5018,462,373,2572,1283,1205,2712,5209,3443,2738,1117,2123,1459,1162,611,5560,1823,442,1902,36198,4014,3416,674,2571,1093,2697,978,1007,1235,701,3455,4975,1780,4353,3249,43297,3531,776,377,1589,1802,896,822,878,586,1242,2000,1294,1346,3537,2538,1562,5517,13004,82680,422,693,8496,869,6256,1732,1423,9350,5503,3301,4901,2200,6623,1744,8950,20216,137114,14864,15981,4581,5312,17003,3419,5726,2300,1774,11466,1000,2330,1904,1314,8415,2210,37516,55852,2697,709,1700,6729,6303,4573,438,7887,6287,3734,3120,3226,1224,7223,44507,4932,5923,10484,1340,2726,13920,4102,1081,161433,4762,4193,1622,14407,27198,5947,11135,6593,5073,51621,7277,15388,6218
